Date,Region,Category,Product,CustomerID,Revenue,Cost,Quantity
2026-03-01,South,Clothing,Beta,13,24056,8573,283
2026-03-01,East,Electronics,Delta,22,67148,9890,235
2026-03-01,East,Furniture,Delta,15,49593,10838,96
2026-03-01,East,Clothing,Beta,14,88893,8995,112
2026-03-01,West,Electronics,Epsilon,17,75692,21531,221
2026-03-01,West,Furniture,Alpha,35,39300,32312,420
2026-03-01,West,Clothing,Delta,26,23908,24633,117
2026-04-01,North,Electronics,Beta,23,30823,28698,473
2026-04-01,North,Furniture,Gamma,32,79622,6694,302
2026-04-01,North,Clothing,Epsilon,6,88612,2548,281
2026-04-01,South,Electronics,Alpha,22,88714,2316,311
2026-04-01,South,Furniture,Beta,8,71836,34750,344
2026-04-01,South,Clothing,Gamma,9,38302,7286,279
2026-04-01,East,Electronics,Alpha,15,74638,30316,316
2026-04-01,East,Furniture,Alpha,5,21878,17463,66
2026-04-01,East,Clothing,Gamma,4,34790,12660,201
2026-04-01,West,Electronics,Alpha,3,39568,34936,140
2026-04-01,West,Furniture,Delta,32,76749,12720,177
2026-04-01,West,Clothing,Delta,25,50227,8885,454
2026-05-01,North,Electronics,Alpha,34,30309,38286,452
2026-05-01,North,Furniture,Alpha,20,89569,38590,33
2026-05-01,North,Clothing,Delta,27,29169,31542,103
2026-05-01,South,Electronics,Gamma,31,30033,25387,332
2026-05-01,South,Furniture,Delta,36,32118,21231,234
2026-05-01,South,Clothing,Epsilon,37,48806,6495,281
2026-05-01,East,Electronics,Delta,10,88491,20737,170
2026-05-01,East,Furniture,Epsilon,15,49555,4723,476
2026-05-01,East,Clothing,Alpha,22,41856,3907,355
2026-05-01,West,Electronics,Gamma,11,10241,15334,496
2026-05-01,West,Furniture,Epsilon,28,42891,9694,87
2026-05-01,West,Clothing,Beta,9,13040,13750,478
2026-06-01,North,Electronics,Epsilon,17,15585,20627,479
2026-06-01,North,Furniture,Beta,9,66661,2781,249
2026-06-01,North,Clothing,Alpha,39,19860,21001,178
2026-06-01,South,Electronics,Alpha,12,53347,32761,230
2026-06-01,South,Furniture,Beta,2,52372,26537,144
2026-06-01,South,Clothing,Delta,11,21537,17229,477
2026-06-01,East,Electronics,Beta,39,79336,28182,387
2026-06-01,East,Furniture,Epsilon,17,85056,13777,40
2026-06-01,East,Clothing,Beta,35,64233,27203,458
2026-06-01,West,Electronics,Delta,29,73435,28664,459
2026-06-01,West,Furniture,Gamma,16,42641,35561,299
2026-06-01,West,Clothing,Gamma,39,54408,15788,330
2026-07-01,North,Electronics,Alpha,7,37476,11820,234
2026-07-01,North,Furniture,Beta,22,45161,39511,142
2026-07-01,North,Clothing,Epsilon,38,65958,16813,382
2026-07-01,South,Electronics,Beta,6,71008,26637,10
2026-07-01,South,Furniture,Alpha,17,59840,6428,480
2026-07-01,South,Clothing,Delta,21,55308,34421,472
2026-07-01,East,Electronics,Epsilon,7,5869,36868,427
2026-07-01,East,Furniture,Delta,25,28600,14218,132
2026-07-01,East,Clothing,Delta,16,50647,27921,401
2026-07-01,West,Electronics,Beta,30,50978,3967,312
2026-07-01,West,Furniture,Epsilon,15,27683,37472,256
2026-07-01,West,Clothing,Delta,13,74712,13189,465
2026-08-01,North,Electronics,Alpha,38,89976,17600,87
2026-08-01,North,Furniture,Delta,19,38580,13390,275
2026-08-01,North,Clothing,Gamma,34,10700,2478,482
2026-08-01,South,Electronics,Gamma,9,83530,14440,263
2026-08-01,South,Furniture,Alpha,39,54844,26698,212
2026-08-01,South,Clothing,Beta,8,56731,38990,140
2026-08-01,East,Electronics,Beta,38,47795,36997,185
2026-08-01,East,Furniture,Alpha,32,77573,3307,332
2026-08-01,East,Clothing,Alpha,4,72126,14310,423
2026-08-01,West,Electronics,Beta,36,25889,4824,32
2026-08-01,West,Furniture,Alpha,32,69772,12882,79
2026-08-01,West,Clothing,Alpha,21,85596,31006,71
2026-09-01,North,Electronics,Delta,25,86477,13040,78
2026-09-01,North,Furniture,Epsilon,32,14648,28988,248
2026-09-01,North,Clothing,Alpha,30,79442,26571,443
2026-09-01,South,Electronics,Gamma,28,55839,35656,385
2026-09-01,South,Furniture,Beta,22,53392,24026,397
2026-09-01,South,Clothing,Beta,31,37758,23632,315
2026-09-01,East,Electronics,Epsilon,22,73769,39463,271
2026-09-01,East,Furniture,Delta,3,46242,28621,271
2026-09-01,East,Clothing,Delta,39,77801,36324,397
2026-09-01,West,Electronics,Alpha,5,54725,13014,161
2026-09-01,West,Furniture,Alpha,30,12844,13911,57
2026-09-01,West,Clothing,Delta,7,56964,30798,79
2026-10-01,North,Electronics,Alpha,25,53029,7962,71
2026-10-01,North,Furniture,Delta,37,39161,26758,99
2026-10-01,North,Clothing,Alpha,11,33694,39648,218
2026-10-01,South,Electronics,Gamma,17,55764,37071,316
2026-10-01,South,Furniture,Gamma,29,15685,38517,483
2026-10-01,South,Clothing,Delta,23,76560,4241,169
2026-10-01,East,Electronics,Beta,31,88676,28876,270
2026-10-01,East,Furniture,Delta,28,49388,15241,187
2026-10-01,East,Clothing,Gamma,10,12194,17090,372
2026-10-01,West,Electronics,Epsilon,20,37836,11167,358
2026-10-01,West,Furniture,Alpha,30,40347,14137,312
2026-10-01,West,Clothing,Alpha,19,38731,25537,266
2026-11-01,North,Electronics,Beta,16,75936,34098,136
2026-11-01,North,Furniture,Gamma,24,14762,21255,62
2026-11-01,North,Clothing,Delta,14,69602,3824,25
2026-11-01,South,Electronics,Delta,2,21769,6925,139
2026-11-01,South,Furniture,Beta,37,52758,36824,102
2026-11-01,South,Clothing,Delta,4,30673,30311,181
2026-11-01,East,Electronics,Beta,24,50294,22333,386
2026-11-01,East,Furniture,Gamma,19,55075,2159,450
2026-11-01,East,Clothing,Epsilon,4,86076,19447,100
2026-11-01,West,Electronics,Alpha,14,63906,37387,312
2026-11-01,West,Furniture,Alpha,28,22200,3553,423
2026-11-01,West,Clothing,Delta,35,89535,22783,208
2026-12-01,North,Electronics,Beta,11,60550,12379,328
2026-12-01,North,Furniture,Gamma,19,35345,38891,199
2026-12-01,North,Clothing,Alpha,26,86026,34615,307
2026-12-01,South,Electronics,Alpha,2,7860,29490,383
2026-12-01,South,Furniture,Gamma,12,84866,25619,196
2026-12-01,South,Clothing,Beta,25,60220,15937,152
2026-12-01,East,Electronics,Epsilon,18,56488,37059,203
2026-12-01,East,Furniture,Epsilon,25,41116,37316,31
2026-12-01,East,Clothing,Beta,15,13986,19357,383
2026-12-01,West,Electronics,Epsilon,1,49811,21121,75
2026-12-01,West,Furniture,Alpha,36,9682,39976,106
2026-12-01,West,Clothing,Gamma,5,45384,24994,380
