Product ID,Product Name,Category,Sub Category,Brand,Unit Cost,Unit Price,Profit Margin %,Stock Quantity,Reorder Level,Supplier,Weight (kg),Rating
PROD-0026,Dumbbells Set,Sports,Sports - Standard,StyleMax,148.48,280.63,47.09,466,59,SupplierC,18.03,3.58
PROD-0027,Tennis Racket,Sports,Sports - Premium,ValuePlus,186.99,437.56,57.27,1750,95,SupplierB,16.97,4.68
PROD-0028,Cycling Helmet,Sports,Sports - Lite,TechPro,426.55,946.94,54.95,1282,90,SupplierE,1.8,3.87
PROD-0029,Basketball,Sports,Sports - Lite,EcoGoods,346.45,682.51,49.24,194,92,SupplierB,2.28,4.08
PROD-0030,Treadmill,Sports,Sports - Lite,TechPro,279.15,547.13,48.98,1421,54,SupplierA,1.17,4.09
PROD-0031,Swimming Goggles,Sports,Sports - Budget,StyleMax,349.77,821.96,57.45,505,85,SupplierD,4.43,4.37
PROD-0032,Fitness Tracker,Sports,Sports - Pro,HomeEssentials,31.77,54.33,41.52,1367,34,SupplierC,6.31,4.08
PROD-0033,Python Programming,Books,Books - Premium,ActiveLife,227.85,542.28,57.98,1693,70,SupplierE,14.97,3.11
PROD-0034,Data Science Guide,Books,Books - Premium,PrimeBase,291.78,528.12,44.75,1539,76,SupplierC,10.63,4.8
PROD-0035,Business Analytics,Books,Books - Budget,HomeEssentials,381.77,618.47,38.27,1643,47,SupplierB,16.91,3.27
PROD-0036,Leadership Skills,Books,Books - Pro,PrimeBase,160.67,273.14,41.18,830,31,SupplierC,7.11,4.06
PROD-0037,Marketing Mastery,Books,Books - Lite,StyleMax,407.17,582.25,30.07,1102,49,SupplierB,14.39,4.36
PROD-0038,AI Fundamentals,Books,Books - Premium,SmartChoice,134.95,213.22,36.71,1271,35,SupplierD,14.93,4.14
PROD-0039,Finance 101,Books,Books - Premium,PrimeBase,418.88,783.31,46.52,869,29,SupplierA,19.82,3.92
PROD-0040,Design Thinking,Books,Books - Budget,HomeEssentials,199.96,361.93,44.75,124,61,SupplierA,19.68,3.39
PROD-0041,Face Moisturizer,Beauty,Beauty - Lite,TechPro,396.97,678.82,41.52,777,58,SupplierE,13.8,3.65
PROD-0042,Vitamin C Serum,Beauty,Beauty - Lite,TechPro,282.66,370.28,23.66,1764,14,SupplierE,2.44,4.47
PROD-0043,Hair Shampoo,Beauty,Beauty - Standard,EcoGoods,59.21,100.66,41.18,748,19,SupplierA,11.67,3.49
PROD-0044,Lipstick Set,Beauty,Beauty - Budget,ValuePlus,17.88,37.19,51.92,714,27,SupplierB,8.87,4.29
PROD-0045,Perfume,Beauty,Beauty - Standard,HomeEssentials,163.94,403.29,59.35,237,100,SupplierD,8.45,4.72
PROD-0046,Sunscreen SPF50,Beauty,Beauty - Standard,SmartChoice,154.46,279.57,44.75,408,83,SupplierC,19.85,4.74
PROD-0047,Eye Cream,Beauty,Beauty - Budget,TechPro,269.45,600.87,55.16,1083,35,SupplierA,18.52,3.6
PROD-0048,Foundation,Beauty,Beauty - Budget,HomeEssentials,206.62,415.31,50.25,149,23,SupplierE,4.76,4.92
PROD-0049,LEGO Set,Toys,Toys - Pro,EcoGoods,106.86,227.61,53.05,374,66,SupplierB,3.73,3.13
PROD-0050,Remote Car,Toys,Toys - Budget,StyleMax,417.8,960.94,56.52,786,26,SupplierB,5.86,4.05
PROD-0051,Board Game,Toys,Toys - Budget,PrimeBase,495.91,733.95,32.43,427,54,SupplierB,4.3,4.85
PROD-0052,Puzzle 1000pc,Toys,Toys - Pro,ActiveLife,443.22,921.9,51.92,1434,61,SupplierA,17.69,4.19
PROD-0053,Action Figure,Toys,Toys - Standard,HomeEssentials,378.26,510.65,25.93,1713,56,SupplierB,2.49,3.92
PROD-0054,Science Kit,Toys,Toys - Budget,SmartChoice,163.06,286.99,43.18,1807,93,SupplierA,8.68,3.57
PROD-0055,Card Game,Toys,Toys - Lite,HomeEssentials,428.4,951.05,54.96,812,13,SupplierB,1.1,4.07
PROD-0056,Dolls House,Toys,Toys - Premium,StyleMax,192.25,378.73,49.24,602,27,SupplierB,11.57,3.77
PROD-0057,Car Phone Mount,Automotive,Automotive - Premium,TechPro,438.19,994.69,55.95,1203,91,SupplierC,18.76,3.6
PROD-0058,Dash Cam,Automotive,Automotive - Lite,ValuePlus,492.63,891.66,44.75,1814,63,SupplierA,19.28,3.07
PROD-0059,Tire Inflator,Automotive,Automotive - Premium,TechPro,471.65,749.92,37.11,977,98,SupplierC,14.33,4.01
PROD-0060,Car Vacuum,Automotive,Automotive - Lite,EcoGoods,385.34,682.05,43.5,690,83,SupplierE,16.32,3.52
PROD-0061,Seat Covers,Automotive,Automotive - Budget,HomeEssentials,15.82,32.27,50.98,550,30,SupplierB,19.26,3.55
PROD-0062,Floor Mats,Automotive,Automotive - Standard,TechPro,214.44,405.29,47.09,96,26,SupplierD,4.67,3.07
PROD-0063,Jump Starter,Automotive,Automotive - Lite,HomeEssentials,164.4,282.77,41.86,544,53,SupplierB,4.05,3.39
PROD-0064,GPS Navigator,Automotive,Automotive - Standard,ActiveLife,45.17,87.18,48.19,614,67,SupplierB,16.02,3.8
PROD-0065,Organic Coffee,Food & Grocery,Food & Grocery - Standard,EcoGoods,194.42,299.41,35.07,1391,12,SupplierD,17.27,4.76
PROD-0066,Green Tea Box,Food & Grocery,Food & Grocery - Pro,PrimeBase,340.95,675.08,49.49,274,28,SupplierA,16.6,3.92
PROD-0067,Protein Powder,Food & Grocery,Food & Grocery - Budget,EcoGoods,175.08,245.11,28.57,246,70,SupplierB,15.57,4.3
PROD-0068,Olive Oil,Food & Grocery,Food & Grocery - Pro,TechPro,180.53,333.98,45.95,744,53,SupplierE,18.27,3.16
PROD-0069,Honey Jar,Food & Grocery,Food & Grocery - Budget,HomeEssentials,181.13,273.51,33.78,128,27,SupplierC,10.23,4.53
PROD-0070,Almond Nuts,Food & Grocery,Food & Grocery - Standard,EcoGoods,179.2,313.6,42.86,1889,32,SupplierB,17.7,4.01
PROD-0071,Dark Chocolate,Food & Grocery,Food & Grocery - Budget,TechPro,487.22,1159.58,57.98,1742,41,SupplierC,5.39,4.39
PROD-0072,Quinoa Pack,Food & Grocery,Food & Grocery - Standard,PrimeBase,197.77,395.54,50.0,272,51,SupplierB,2.69,4.55
PROD-0073,Ergonomic Chair,Office Supplies,Office Supplies - Standard,SmartChoice,73.03,95.67,23.66,1405,20,SupplierA,3.78,4.36
PROD-0074,Standing Desk,Office Supplies,Office Supplies - Lite,SmartChoice,478.64,717.96,33.33,537,85,SupplierD,5.92,4.95
PROD-0075,Desk Lamp,Office Supplies,Office Supplies - Premium,ActiveLife,431.59,794.13,45.65,1514,51,SupplierC,13.35,4.03
PROD-0076,Stapler Set,Office Supplies,Office Supplies - Budget,TechPro,188.82,407.85,53.7,1437,96,SupplierD,7.69,3.66
PROD-0077,Whiteboard,Office Supplies,Office Supplies - Pro,StyleMax,125.51,254.79,50.74,526,90,SupplierE,6.62,3.59
PROD-0078,Sticky Notes,Office Supplies,Office Supplies - Pro,TechPro,482.77,1018.64,52.61,528,67,SupplierB,9.78,4.03
PROD-0079,File Cabinet,Office Supplies,Office Supplies - Lite,TechPro,88.2,121.72,27.54,1310,48,SupplierE,17.66,4.21
PROD-0080,Paper Shredder,Office Supplies,Office Supplies - Pro,StyleMax,277.24,618.25,55.16,200,18,SupplierE,6.16,4.23
