Order ID,Order Date,Year,Month,Quarter,Customer ID,Product ID,User ID,Category,Quantity,Unit Price,Unit Cost,Gross Sales,Discount %,Discount Amount,Net Sales,Total Cost,Profit,Profit Margin %,Sales Channel,Order Status,Ship Date,Payment Method
ORD-00012,2022-05-24,2022,5,Q2,CUST-0077,PROD-0021,USER-007,Home & Kitchen,18,121.0,56.28,2178.0,5,108.9,2069.1,1013.04,1056.06,51.04,Retail Store,Pending,2022-05-26,UPI
ORD-00013,2022-04-09,2022,4,Q2,CUST-0088,PROD-0068,USER-025,Food & Grocery,5,333.98,180.53,1669.9,20,333.98,1335.92,902.65,433.27,32.43,Wholesale,Returned,2022-04-12,Bank Transfer
ORD-00014,2023-12-02,2023,12,Q4,CUST-0042,PROD-0030,USER-012,Sports,7,547.13,279.15,3829.91,0,0.0,3829.91,1954.05,1875.86,48.98,Direct Sales,Returned,2023-12-07,Cash
ORD-00015,2025-01-06,2025,1,Q1,CUST-0032,PROD-0051,USER-024,Toys,16,733.95,495.91,11743.2,0,0.0,11743.2,7934.56,3808.64,32.43,Wholesale,Completed,2025-01-08,PayPal
ORD-00016,2024-03-17,2024,3,Q1,CUST-0006,PROD-0037,USER-005,Books,13,582.25,407.17,7569.25,0,0.0,7569.25,5293.21,2276.04,30.07,Retail Store,Returned,2024-03-20,Credit Card
ORD-00017,2022-02-26,2022,2,Q1,CUST-0072,PROD-0070,USER-012,Food & Grocery,12,313.6,179.2,3763.2,15,564.48,3198.72,2150.4,1048.32,32.77,Online,Completed,2022-02-28,UPI
ORD-00018,2025-09-11,2025,9,Q3,CUST-0009,PROD-0041,USER-007,Beauty,7,678.82,396.97,4751.74,0,0.0,4751.74,2778.79,1972.95,41.52,Online,Completed,2025-09-16,UPI
ORD-00019,2023-01-27,2023,1,Q1,CUST-0035,PROD-0023,USER-006,Home & Kitchen,18,659.44,360.35,11869.92,15,1780.49,10089.43,6486.3,3603.13,35.71,Wholesale,Completed,2023-01-28,Cash
ORD-00020,2023-12-22,2023,12,Q4,CUST-0072,PROD-0042,USER-011,Beauty,5,370.28,282.66,1851.4,0,0.0,1851.4,1413.3,438.1,23.66,Wholesale,Pending,2023-12-27,Cash
ORD-00021,2023-02-27,2023,2,Q1,CUST-0048,PROD-0025,USER-015,Sports,2,972.91,498.93,1945.82,0,0.0,1945.82,997.86,947.96,48.72,Wholesale,Completed,2023-02-28,PayPal
ORD-00022,2022-08-19,2022,8,Q3,CUST-0039,PROD-0007,USER-010,Electronics,20,870.29,420.43,17405.8,15,2610.87,14794.93,8408.6,6386.33,43.17,Online,Pending,2022-08-21,Credit Card
ORD-00023,2024-02-09,2024,2,Q1,CUST-0020,PROD-0059,USER-026,Automotive,18,749.92,471.65,13498.56,0,0.0,13498.56,8489.7,5008.86,37.11,Direct Sales,Completed,2024-02-11,Cash
ORD-00024,2023-12-01,2023,12,Q4,CUST-0029,PROD-0067,USER-023,Food & Grocery,2,245.11,175.08,490.22,0,0.0,490.22,350.16,140.06,28.57,Wholesale,Completed,2023-12-05,Bank Transfer
ORD-00025,2023-09-21,2023,9,Q3,CUST-0027,PROD-0022,USER-007,Home & Kitchen,10,316.01,140.45,3160.1,0,0.0,3160.1,1404.5,1755.6,55.56,Retail Store,Completed,2023-09-24,Cash
ORD-00026,2025-05-19,2025,5,Q2,CUST-0098,PROD-0039,USER-003,Books,9,783.31,418.88,7049.79,0,0.0,7049.79,3769.92,3279.87,46.52,Direct Sales,Completed,2025-05-21,PayPal
ORD-00027,2022-06-03,2022,6,Q2,CUST-0059,PROD-0052,USER-018,Toys,17,921.9,443.22,15672.3,0,0.0,15672.3,7534.74,8137.56,51.92,Direct Sales,Completed,2022-06-04,PayPal
ORD-00028,2023-03-19,2023,3,Q1,CUST-0074,PROD-0011,USER-001,Clothing,12,189.57,111.51,2274.84,0,0.0,2274.84,1338.12,936.72,41.18,Wholesale,Completed,2023-03-23,Credit Card
ORD-00029,2024-01-07,2024,1,Q1,CUST-0055,PROD-0053,USER-001,Toys,16,510.65,378.26,8170.4,15,1225.56,6944.84,6052.16,892.68,12.85,Direct Sales,Completed,2024-01-08,Cash
ORD-00030,2024-12-27,2024,12,Q4,CUST-0020,PROD-0018,USER-012,Home & Kitchen,17,692.73,487.84,11776.41,10,1177.64,10598.77,8293.28,2305.49,21.75,Direct Sales,Returned,2024-12-28,Credit Card
ORD-00031,2024-01-07,2024,1,Q1,CUST-0022,PROD-0026,USER-020,Sports,12,280.63,148.48,3367.56,0,0.0,3367.56,1781.76,1585.8,47.09,Direct Sales,Completed,2024-01-11,Cash
ORD-00032,2022-12-07,2022,12,Q4,CUST-0090,PROD-0037,USER-023,Books,20,582.25,407.17,11645.0,5,582.25,11062.75,8143.4,2919.35,26.39,Retail Store,Returned,2022-12-10,UPI
ORD-00033,2022-05-21,2022,5,Q2,CUST-0013,PROD-0022,USER-001,Home & Kitchen,8,316.01,140.45,2528.08,10,252.81,2275.27,1123.6,1151.67,50.62,Retail Store,Pending,2022-05-22,Bank Transfer
ORD-00034,2024-12-21,2024,12,Q4,CUST-0008,PROD-0002,USER-011,Electronics,2,320.22,163.38,640.44,5,32.02,608.42,326.76,281.66,46.29,Wholesale,Completed,2024-12-24,UPI
ORD-00035,2024-08-07,2024,8,Q3,CUST-0066,PROD-0010,USER-018,Clothing,17,295.0,215.33,5015.0,15,752.25,4262.75,3660.61,602.14,14.13,Direct Sales,Completed,2024-08-12,Credit Card
ORD-00036,2025-08-13,2025,8,Q3,CUST-0038,PROD-0034,USER-005,Books,1,528.12,291.78,528.12,0,0.0,528.12,291.78,236.34,44.75,Wholesale,Pending,2025-08-14,UPI
ORD-00037,2024-02-03,2024,2,Q1,CUST-0094,PROD-0067,USER-030,Food & Grocery,1,245.11,175.08,245.11,0,0.0,245.11,175.08,70.03,28.57,Retail Store,Completed,2024-02-04,Credit Card
ORD-00038,2025-11-01,2025,11,Q4,CUST-0036,PROD-0032,USER-016,Sports,16,54.33,31.77,869.28,5,43.46,825.82,508.32,317.5,38.45,Online,Completed,2025-11-06,PayPal
ORD-00039,2022-09-28,2022,9,Q3,CUST-0016,PROD-0013,USER-021,Clothing,3,360.23,238.56,1080.69,10,108.07,972.62,715.68,256.94,26.42,Wholesale,Returned,2022-09-28,Credit Card
ORD-00040,2025-11-27,2025,11,Q4,CUST-0048,PROD-0020,USER-029,Home & Kitchen,19,484.81,257.88,9211.39,20,1842.28,7369.11,4899.72,2469.39,33.51,Direct Sales,Completed,2025-11-28,PayPal
ORD-00041,2024-01-03,2024,1,Q1,CUST-0039,PROD-0043,USER-024,Beauty,12,100.66,59.21,1207.92,15,181.19,1026.73,710.52,316.21,30.8,Wholesale,Returned,2024-01-05,UPI
ORD-00042,2023-12-25,2023,12,Q4,CUST-0018,PROD-0018,USER-005,Home & Kitchen,13,692.73,487.84,9005.49,0,0.0,9005.49,6341.92,2663.57,29.58,Retail Store,Completed,2023-12-26,Bank Transfer
ORD-00043,2024-05-10,2024,5,Q2,CUST-0029,PROD-0002,USER-027,Electronics,3,320.22,163.38,960.66,20,192.13,768.53,490.14,278.39,36.22,Wholesale,Completed,2024-05-11,UPI
ORD-00044,2022-11-01,2022,11,Q4,CUST-0022,PROD-0018,USER-005,Home & Kitchen,4,692.73,487.84,2770.92,0,0.0,2770.92,1951.36,819.56,29.58,Direct Sales,Completed,2022-11-04,UPI
ORD-00045,2022-09-20,2022,9,Q3,CUST-0100,PROD-0078,USER-003,Office Supplies,5,1018.64,482.77,5093.2,10,509.32,4583.88,2413.85,2170.03,47.34,Online,Completed,2022-09-21,Cash
ORD-00046,2024-08-12,2024,8,Q3,CUST-0074,PROD-0019,USER-004,Home & Kitchen,18,436.67,205.01,7860.06,10,786.01,7074.05,3690.18,3383.87,47.83,Wholesale,Completed,2024-08-14,PayPal
ORD-00047,2025-08-27,2025,8,Q3,CUST-0013,PROD-0031,USER-029,Sports,10,821.96,349.77,8219.6,20,1643.92,6575.68,3497.7,3077.98,46.81,Wholesale,Completed,2025-08-28,PayPal
ORD-00048,2023-12-07,2023,12,Q4,CUST-0028,PROD-0039,USER-008,Books,15,783.31,418.88,11749.65,10,1174.96,10574.69,6283.2,4291.49,40.58,Retail Store,Returned,2023-12-08,PayPal
ORD-00049,2022-07-25,2022,7,Q3,CUST-0085,PROD-0058,USER-010,Automotive,4,891.66,492.63,3566.64,15,535.0,3031.64,1970.52,1061.12,35.0,Wholesale,Completed,2022-07-28,Cash
ORD-00050,2024-02-27,2024,2,Q1,CUST-0075,PROD-0047,USER-030,Beauty,16,600.87,269.45,9613.92,20,1922.78,7691.14,4311.2,3379.94,43.95,Retail Store,Completed,2024-02-28,PayPal
ORD-00051,2024-05-02,2024,5,Q2,CUST-0031,PROD-0019,USER-013,Home & Kitchen,16,436.67,205.01,6986.72,10,698.67,6288.05,3280.16,3007.89,47.84,Retail Store,Completed,2024-05-03,Credit Card
ORD-00052,2023-03-13,2023,3,Q1,CUST-0074,PROD-0062,USER-014,Automotive,5,405.29,214.44,2026.45,15,303.97,1722.48,1072.2,650.28,37.75,Retail Store,Completed,2023-03-17,PayPal
ORD-00053,2022-10-12,2022,10,Q4,CUST-0074,PROD-0004,USER-024,Electronics,20,1113.23,494.77,22264.6,20,4452.92,17811.68,9895.4,7916.28,44.44,Wholesale,Pending,2022-10-14,Bank Transfer
ORD-00054,2025-02-12,2025,2,Q1,CUST-0013,PROD-0062,USER-022,Automotive,5,405.29,214.44,2026.45,0,0.0,2026.45,1072.2,954.25,47.09,Wholesale,Pending,2025-02-17,Cash
ORD-00055,2024-03-06,2024,3,Q1,CUST-0098,PROD-0032,USER-005,Sports,5,54.33,31.77,271.65,15,40.75,230.9,158.85,72.05,31.2,Wholesale,Completed,2024-03-11,Credit Card
ORD-00056,2023-11-18,2023,11,Q4,CUST-0035,PROD-0039,USER-026,Books,9,783.31,418.88,7049.79,0,0.0,7049.79,3769.92,3279.87,46.52,Retail Store,Pending,2023-11-19,Credit Card
ORD-00057,2022-11-16,2022,11,Q4,CUST-0080,PROD-0032,USER-024,Sports,1,54.33,31.77,54.33,20,10.87,43.46,31.77,11.69,26.9,Wholesale,Returned,2022-11-17,PayPal
ORD-00058,2023-12-05,2023,12,Q4,CUST-0024,PROD-0076,USER-008,Office Supplies,3,407.85,188.82,1223.55,15,183.53,1040.02,566.46,473.56,45.53,Retail Store,Pending,2023-12-07,PayPal
ORD-00059,2024-07-21,2024,7,Q3,CUST-0097,PROD-0020,USER-002,Home & Kitchen,7,484.81,257.88,3393.67,0,0.0,3393.67,1805.16,1588.51,46.81,Direct Sales,Completed,2024-07-23,PayPal
ORD-00060,2025-12-15,2025,12,Q4,CUST-0041,PROD-0073,USER-018,Office Supplies,7,95.67,73.03,669.69,0,0.0,669.69,511.21,158.48,23.66,Online,Pending,2025-12-19,Cash
ORD-00061,2023-07-08,2023,7,Q3,CUST-0042,PROD-0051,USER-018,Toys,5,733.95,495.91,3669.75,0,0.0,3669.75,2479.55,1190.2,32.43,Wholesale,Returned,2023-07-09,Credit Card
ORD-00062,2023-09-01,2023,9,Q3,CUST-0005,PROD-0023,USER-021,Home & Kitchen,1,659.44,360.35,659.44,20,131.89,527.55,360.35,167.2,31.69,Online,Completed,2023-09-04,UPI
ORD-00063,2024-08-08,2024,8,Q3,CUST-0063,PROD-0075,USER-006,Office Supplies,15,794.13,431.59,11911.95,20,2382.39,9529.56,6473.85,3055.71,32.07,Direct Sales,Pending,2024-08-11,Cash
ORD-00064,2025-02-05,2025,2,Q1,CUST-0100,PROD-0048,USER-001,Beauty,9,415.31,206.62,3737.79,0,0.0,3737.79,1859.58,1878.21,50.25,Retail Store,Returned,2025-02-06,Bank Transfer
ORD-00065,2023-03-19,2023,3,Q1,CUST-0074,PROD-0057,USER-022,Automotive,12,994.69,438.19,11936.28,0,0.0,11936.28,5258.28,6678.0,55.95,Wholesale,Returned,2023-03-21,PayPal
ORD-00066,2025-03-22,2025,3,Q1,CUST-0040,PROD-0068,USER-024,Food & Grocery,17,333.98,180.53,5677.66,0,0.0,5677.66,3069.01,2608.65,45.95,Online,Pending,2025-03-23,PayPal
ORD-00067,2022-07-18,2022,7,Q3,CUST-0087,PROD-0080,USER-020,Office Supplies,4,618.25,277.24,2473.0,15,370.95,2102.05,1108.96,993.09,47.24,Direct Sales,Completed,2022-07-19,PayPal
ORD-00068,2023-01-17,2023,1,Q1,CUST-0050,PROD-0052,USER-030,Toys,2,921.9,443.22,1843.8,5,92.19,1751.61,886.44,865.17,49.39,Retail Store,Completed,2023-01-20,Cash
ORD-00069,2024-01-04,2024,1,Q1,CUST-0031,PROD-0062,USER-018,Automotive,19,405.29,214.44,7700.51,20,1540.1,6160.41,4074.36,2086.05,33.86,Direct Sales,Returned,2024-01-09,UPI
ORD-00070,2023-09-18,2023,9,Q3,CUST-0009,PROD-0034,USER-002,Books,18,528.12,291.78,9506.16,5,475.31,9030.85,5252.04,3778.81,41.84,Direct Sales,Completed,2023-09-19,Cash
ORD-00071,2022-10-05,2022,10,Q4,CUST-0012,PROD-0017,USER-023,Home & Kitchen,16,864.42,411.63,13830.72,5,691.54,13139.18,6586.08,6553.1,49.87,Direct Sales,Completed,2022-10-08,Bank Transfer
ORD-00072,2025-04-12,2025,4,Q2,CUST-0023,PROD-0023,USER-007,Home & Kitchen,17,659.44,360.35,11210.48,15,1681.57,9528.91,6125.95,3402.96,35.71,Wholesale,Completed,2025-04-16,Bank Transfer
ORD-00073,2025-08-05,2025,8,Q3,CUST-0048,PROD-0074,USER-017,Office Supplies,11,717.96,478.64,7897.56,0,0.0,7897.56,5265.04,2632.52,33.33,Online,Completed,2025-08-06,PayPal
ORD-00074,2023-10-04,2023,10,Q4,CUST-0039,PROD-0058,USER-010,Automotive,11,891.66,492.63,9808.26,15,1471.24,8337.02,5418.93,2918.09,35.0,Wholesale,Pending,2023-10-09,UPI
ORD-00075,2024-06-18,2024,6,Q2,CUST-0042,PROD-0039,USER-021,Books,6,783.31,418.88,4699.86,0,0.0,4699.86,2513.28,2186.58,46.52,Direct Sales,Pending,2024-06-23,Credit Card
ORD-00076,2023-11-18,2023,11,Q4,CUST-0085,PROD-0011,USER-006,Clothing,1,189.57,111.51,189.57,0,0.0,189.57,111.51,78.06,41.18,Wholesale,Pending,2023-11-22,Cash
ORD-00077,2023-06-15,2023,6,Q2,CUST-0077,PROD-0067,USER-008,Food & Grocery,7,245.11,175.08,1715.77,15,257.37,1458.4,1225.56,232.84,15.97,Direct Sales,Completed,2023-06-18,Bank Transfer
ORD-00078,2022-12-18,2022,12,Q4,CUST-0050,PROD-0007,USER-026,Electronics,13,870.29,420.43,11313.77,10,1131.38,10182.39,5465.59,4716.8,46.32,Direct Sales,Pending,2022-12-20,Credit Card
ORD-00079,2022-09-12,2022,9,Q3,CUST-0054,PROD-0041,USER-028,Beauty,1,678.82,396.97,678.82,0,0.0,678.82,396.97,281.85,41.52,Wholesale,Returned,2022-09-15,Credit Card
ORD-00080,2022-05-06,2022,5,Q2,CUST-0039,PROD-0015,USER-014,Clothing,14,274.31,209.4,3840.34,0,0.0,3840.34,2931.6,908.74,23.66,Retail Store,Completed,2022-05-11,UPI
ORD-00081,2022-05-03,2022,5,Q2,CUST-0016,PROD-0060,USER-004,Automotive,13,682.05,385.34,8866.65,5,443.33,8423.32,5009.42,3413.9,40.53,Direct Sales,Completed,2022-05-05,Cash
ORD-00082,2025-08-27,2025,8,Q3,CUST-0050,PROD-0027,USER-029,Sports,10,437.56,186.99,4375.6,15,656.34,3719.26,1869.9,1849.36,49.72,Direct Sales,Pending,2025-08-28,UPI
ORD-00083,2022-07-04,2022,7,Q3,CUST-0045,PROD-0021,USER-008,Home & Kitchen,10,121.0,56.28,1210.0,10,121.0,1089.0,562.8,526.2,48.32,Wholesale,Pending,2022-07-09,Credit Card
ORD-00084,2022-08-07,2022,8,Q3,CUST-0052,PROD-0050,USER-028,Toys,18,960.94,417.8,17296.92,0,0.0,17296.92,7520.4,9776.52,56.52,Online,Returned,2022-08-10,Credit Card
ORD-00085,2025-05-05,2025,5,Q2,CUST-0073,PROD-0054,USER-022,Toys,6,286.99,163.06,1721.94,0,0.0,1721.94,978.36,743.58,43.18,Retail Store,Returned,2025-05-10,Credit Card
ORD-00086,2022-07-11,2022,7,Q3,CUST-0003,PROD-0018,USER-018,Home & Kitchen,14,692.73,487.84,9698.22,20,1939.64,7758.58,6829.76,928.82,11.97,Online,Pending,2022-07-12,Bank Transfer
ORD-00087,2022-03-03,2022,3,Q1,CUST-0084,PROD-0046,USER-012,Beauty,2,279.57,154.46,559.14,5,27.96,531.18,308.92,222.26,41.84,Wholesale,Completed,2022-03-05,Credit Card
ORD-00088,2023-10-24,2023,10,Q4,CUST-0061,PROD-0024,USER-011,Home & Kitchen,18,704.05,388.98,12672.9,0,0.0,12672.9,7001.64,5671.26,44.75,Direct Sales,Completed,2023-10-26,Cash
ORD-00089,2024-01-22,2024,1,Q1,CUST-0037,PROD-0068,USER-010,Food & Grocery,9,333.98,180.53,3005.82,0,0.0,3005.82,1624.77,1381.05,45.95,Direct Sales,Completed,2024-01-26,UPI
ORD-00090,2024-06-14,2024,6,Q2,CUST-0092,PROD-0033,USER-009,Books,12,542.28,227.85,6507.36,15,976.1,5531.26,2734.2,2797.06,50.57,Wholesale,Completed,2024-06-19,Credit Card
ORD-00091,2025-09-20,2025,9,Q3,CUST-0079,PROD-0045,USER-005,Beauty,15,403.29,163.94,6049.35,10,604.93,5444.42,2459.1,2985.32,54.83,Online,Completed,2025-09-21,Cash
ORD-00092,2024-02-12,2024,2,Q1,CUST-0027,PROD-0030,USER-013,Sports,4,547.13,279.15,2188.52,15,328.28,1860.24,1116.6,743.64,39.98,Wholesale,Completed,2024-02-17,Cash
ORD-00093,2022-02-09,2022,2,Q1,CUST-0016,PROD-0038,USER-009,Books,8,213.22,134.95,1705.76,20,341.15,1364.61,1079.6,285.01,20.89,Wholesale,Completed,2022-02-13,Cash
ORD-00094,2025-04-23,2025,4,Q2,CUST-0064,PROD-0045,USER-030,Beauty,14,403.29,163.94,5646.06,10,564.61,5081.45,2295.16,2786.29,54.83,Retail Store,Completed,2025-04-25,PayPal
ORD-00095,2025-01-10,2025,1,Q1,CUST-0098,PROD-0002,USER-024,Electronics,14,320.22,163.38,4483.08,0,0.0,4483.08,2287.32,2195.76,48.98,Retail Store,Returned,2025-01-11,UPI
ORD-00096,2025-11-08,2025,11,Q4,CUST-0088,PROD-0005,USER-028,Electronics,4,624.79,452.75,2499.16,5,124.96,2374.2,1811.0,563.2,23.72,Online,Completed,2025-11-11,Cash
ORD-00097,2024-11-20,2024,11,Q4,CUST-0041,PROD-0043,USER-021,Beauty,20,100.66,59.21,2013.2,5,100.66,1912.54,1184.2,728.34,38.08,Wholesale,Completed,2024-11-21,UPI
ORD-00098,2022-10-19,2022,10,Q4,CUST-0022,PROD-0056,USER-022,Toys,11,378.73,192.25,4166.03,15,624.9,3541.13,2114.75,1426.38,40.28,Direct Sales,Returned,2022-10-24,Credit Card
ORD-00099,2025-05-11,2025,5,Q2,CUST-0005,PROD-0047,USER-017,Beauty,10,600.87,269.45,6008.7,5,300.44,5708.26,2694.5,3013.76,52.8,Retail Store,Returned,2025-05-12,Cash
ORD-00100,2025-10-10,2025,10,Q4,CUST-0031,PROD-0030,USER-001,Sports,8,547.13,279.15,4377.04,0,0.0,4377.04,2233.2,2143.84,48.98,Retail Store,Pending,2025-10-11,Bank Transfer
ORD-00101,2025-07-07,2025,7,Q3,CUST-0075,PROD-0029,USER-024,Sports,3,682.51,346.45,2047.53,15,307.13,1740.4,1039.35,701.05,40.28,Online,Pending,2025-07-11,Credit Card
ORD-00102,2024-04-12,2024,4,Q2,CUST-0052,PROD-0002,USER-004,Electronics,3,320.22,163.38,960.66,15,144.1,816.56,490.14,326.42,39.98,Direct Sales,Completed,2024-04-17,Credit Card
ORD-00103,2023-11-19,2023,11,Q4,CUST-0062,PROD-0060,USER-009,Automotive,1,682.05,385.34,682.05,0,0.0,682.05,385.34,296.71,43.5,Direct Sales,Completed,2023-11-24,Bank Transfer
ORD-00104,2022-02-02,2022,2,Q1,CUST-0016,PROD-0041,USER-028,Beauty,3,678.82,396.97,2036.46,10,203.65,1832.81,1190.91,641.9,35.02,Direct Sales,Completed,2022-02-07,Cash
ORD-00105,2024-06-15,2024,6,Q2,CUST-0098,PROD-0034,USER-029,Books,15,528.12,291.78,7921.8,0,0.0,7921.8,4376.7,3545.1,44.75,Retail Store,Pending,2024-06-18,Bank Transfer
ORD-00106,2023-08-14,2023,8,Q3,CUST-0011,PROD-0054,USER-027,Toys,12,286.99,163.06,3443.88,0,0.0,3443.88,1956.72,1487.16,43.18,Online,Pending,2023-08-16,PayPal
ORD-00107,2025-03-07,2025,3,Q1,CUST-0053,PROD-0007,USER-025,Electronics,9,870.29,420.43,7832.61,0,0.0,7832.61,3783.87,4048.74,51.69,Direct Sales,Completed,2025-03-10,Cash
ORD-00108,2024-01-11,2024,1,Q1,CUST-0080,PROD-0064,USER-027,Automotive,16,87.18,45.17,1394.88,20,278.98,1115.9,722.72,393.18,35.23,Retail Store,Completed,2024-01-14,Credit Card
ORD-00109,2025-04-07,2025,4,Q2,CUST-0014,PROD-0013,USER-007,Clothing,3,360.23,238.56,1080.69,0,0.0,1080.69,715.68,365.01,33.78,Direct Sales,Pending,2025-04-12,PayPal
ORD-00110,2024-08-07,2024,8,Q3,CUST-0007,PROD-0013,USER-007,Clothing,14,360.23,238.56,5043.22,10,504.32,4538.9,3339.84,1199.06,26.42,Direct Sales,Completed,2024-08-10,PayPal
ORD-00111,2024-09-20,2024,9,Q3,CUST-0078,PROD-0010,USER-007,Clothing,5,295.0,215.33,1475.0,10,147.5,1327.5,1076.65,250.85,18.9,Online,Completed,2024-09-21,Bank Transfer
ORD-00112,2022-09-21,2022,9,Q3,CUST-0040,PROD-0060,USER-004,Automotive,7,682.05,385.34,4774.35,0,0.0,4774.35,2697.38,2076.97,43.5,Online,Returned,2022-09-24,Credit Card
ORD-00113,2023-12-20,2023,12,Q4,CUST-0067,PROD-0037,USER-003,Books,8,582.25,407.17,4658.0,0,0.0,4658.0,3257.36,1400.64,30.07,Wholesale,Completed,2023-12-23,Cash
ORD-00114,2024-04-02,2024,4,Q2,CUST-0004,PROD-0001,USER-010,Electronics,8,808.7,347.08,6469.6,10,646.96,5822.64,2776.64,3046.0,52.31,Retail Store,Pending,2024-04-04,UPI
ORD-00115,2022-02-02,2022,2,Q1,CUST-0087,PROD-0064,USER-001,Automotive,12,87.18,45.17,1046.16,15,156.92,889.24,542.04,347.2,39.04,Direct Sales,Pending,2022-02-03,PayPal
ORD-00116,2024-09-09,2024,9,Q3,CUST-0041,PROD-0008,USER-024,Electronics,4,824.83,499.9,3299.32,10,329.93,2969.39,1999.6,969.79,32.66,Retail Store,Completed,2024-09-10,UPI
ORD-00117,2024-02-22,2024,2,Q1,CUST-0057,PROD-0062,USER-017,Automotive,10,405.29,214.44,4052.9,10,405.29,3647.61,2144.4,1503.21,41.21,Online,Pending,2024-02-23,UPI
ORD-00118,2022-04-19,2022,4,Q2,CUST-0054,PROD-0069,USER-014,Food & Grocery,17,273.51,181.13,4649.67,20,929.93,3719.74,3079.21,640.53,17.22,Retail Store,Completed,2022-04-22,PayPal
ORD-00119,2024-09-25,2024,9,Q3,CUST-0057,PROD-0069,USER-026,Food & Grocery,15,273.51,181.13,4102.65,20,820.53,3282.12,2716.95,565.17,17.22,Retail Store,Completed,2024-09-28,PayPal
ORD-00120,2024-12-12,2024,12,Q4,CUST-0099,PROD-0073,USER-007,Office Supplies,16,95.67,73.03,1530.72,0,0.0,1530.72,1168.48,362.24,23.66,Wholesale,Pending,2024-12-13,Bank Transfer
ORD-00121,2024-10-07,2024,10,Q4,CUST-0093,PROD-0080,USER-022,Office Supplies,7,618.25,277.24,4327.75,0,0.0,4327.75,1940.68,2387.07,55.16,Retail Store,Pending,2024-10-09,UPI
ORD-00122,2025-11-25,2025,11,Q4,CUST-0046,PROD-0065,USER-026,Food & Grocery,14,299.41,194.42,4191.74,10,419.17,3772.57,2721.88,1050.69,27.85,Wholesale,Completed,2025-11-27,Bank Transfer
ORD-00123,2023-07-08,2023,7,Q3,CUST-0061,PROD-0070,USER-014,Food & Grocery,15,313.6,179.2,4704.0,5,235.2,4468.8,2688.0,1780.8,39.85,Direct Sales,Pending,2023-07-09,UPI
ORD-00124,2024-12-15,2024,12,Q4,CUST-0052,PROD-0002,USER-017,Electronics,8,320.22,163.38,2561.76,10,256.18,2305.58,1307.04,998.54,43.31,Retail Store,Completed,2024-12-17,Cash
ORD-00125,2024-04-17,2024,4,Q2,CUST-0019,PROD-0063,USER-024,Automotive,16,282.77,164.4,4524.32,0,0.0,4524.32,2630.4,1893.92,41.86,Direct Sales,Completed,2024-04-19,PayPal
ORD-00126,2023-06-25,2023,6,Q2,CUST-0008,PROD-0031,USER-013,Sports,20,821.96,349.77,16439.2,0,0.0,16439.2,6995.4,9443.8,57.45,Direct Sales,Completed,2023-06-28,PayPal
